월(Monthly),시도명,시군구,승용,승용,승용,승용,승합,승합,승합,승합,화물,화물,화물,화물,특수,특수,특수,특수,총계,총계,총계,총계,,,,,,,,,,,,,,,,,,,,,,,
월(Monthly),시도명,시군구,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,,,,,,,,,,,,,,,,,,,,,,,
Jul-24,광주,남구,84,82,734,1,69,83,887,47,1,864,474,2,385,93,8,632,1,32,9,757,11,224,179,414,235,93,454,2,754,96,443,,,,,,,,,,,,
Jul-24,광주,동구,93,42,132,433,42,658,51,948,113,1,112,107,4,79,388,4,574,9,117,74,200,260,47,276,1,8,48,544,,,,,,,,,,,,,,,
Jul-24,광주,북구,193,173,453,4,647,178,293,196,3,876,998,5,70,217,22,912,3,439,26,568,19,583,531,1,133,625,200,824,9,615,211,64,,,,,,,,,,,
Jul-24,광주,서구,332,126,699,4,28,131,59,158,3,2,339,3,499,245,15,396,1,665,17,306,22,410,239,671,757,145,507,6,271,152,535,,,,,,,,,,,,
Jul-24,광주,계,916,599,209,13,876,614,1,604,13,924,2,295,16,823,846,77,651,14,765,93,262,89,2,51,1,938,4,78,2,455,692,835,32,874,728,164,,,,,,,
Jul-24,대전,대덕구,82,72,584,1,946,74,612,45,2,69,544,2,658,109,13,698,3,883,17,690,9,344,448,801,245,88,695,6,821,95,761,,,,,,,,,,,,
Jul-24,대전,동구,90,76,557,2,802,79,449,55,2,299,493,2,847,96,13,76,1,595,14,767,12,322,219,553,253,92,254,5,109,97,616,,,,,,,,,,,,
Jul-24,대전,서구,298,186,402,19,445,206,145,314,4,36,419,4,769,204,18,448,2,386,21,38,30,513,503,1,46,846,209,399,22,753,232,998,,,,,,,,,,,
Jul-24,대전,유성구,123,177,56,2,722,179,901,93,3,137,368,3,598,441,15,494,2,446,18,381,23,612,297,932,680,196,299,5,833,202,812,,,,,,,,,,,,
Jul-24,대전,중구,100,82,467,2,437,85,4,47,2,413,452,2,912,74,11,985,2,150,14,209,6,278,267,551,227,97,143,5,306,102,676,,,,,,,,,,,,
Jul-24,대전,계,693,595,66,29,352,625,111,554,13,954,2,276,16,784,924,72,701,12,460,86,85,80,2,69,1,734,3,883,2,251,683,790,45,822,731,863,,,,,,,
Jul-24,울산,남구,298,138,466,2,894,141,658,220,2,647,547,3,414,227,16,112,3,202,19,541,18,356,584,958,763,157,581,7,227,165,571,,,,,,,,,,,,
Jul-24,울산,동구,67,58,413,744,59,224,44,1,183,147,1,374,75,4,709,331,5,115,7,150,58,215,193,64,455,1,280,65,928,,,,,,,,,,,,,,
Jul-24,울산,북구,86,109,766,1,522,111,374,41,2,84,279,2,404,92,11,173,1,628,12,893,9,268,326,603,228,123,291,3,755,127,274,,,,,,,,,,,,
Jul-24,울산,울주군,169,108,501,1,151,109,821,95,2,518,666,3,279,171,20,720,4,197,25,88,14,417,1,19,1,450,449,132,156,7,33,139,638,,,,,,,,,,
Jul-24,울산,중구,140,91,54,1,140,92,334,112,1,859,277,2,248,93,10,6,949,11,48,6,217,277,500,351,103,136,2,643,106,130,,,,,,,,,,,,,
Jul-24,울산,계,760,506,200,7,451,514,411,512,10,291,1,916,12,719,658,62,720,10,307,73,685,54,1,408,2,264,3,726,1,984,580,619,21,938,604,541,,,,,,,
Jul-24,세종,세종특별자치시,362,176,829,1,192,178,383,252,3,243,585,4,80,268,15,98,1,978,17,344,65,634,172,871,947,195,804,3,927,200,678,,,,,,,,,,,,
